"stockid","mgmt","area","primary_country"
"PSHRMPMEDGSA6","GFCM","Northern Spain","Spain"
"PSOLEPCOAST","NMFS","Pacific Coast","USA"
"PTOOTHFISHCH","SUBPESCA-CFP","South Chile Argentina","Chile"
"PTOOTHFISHPEI","DETMCM","South Africa Subantarctic Prince Edward Islands","South Africa"
"QUAHATLC","NMFS","Atlantic Coast","USA"
"RBRMECS","FAJ","East China Sea","Japan"
"RBRMIX","ICES","ICES 9","Portugal"
"RBRMSETOE","FAJ","Inland Sea of Japan (East)","Japan"
"RBRMSETOW","FAJ","Inland Sea of Japan (West)","Japan"
"RBRMVI-VII-VIII","ICES","ICES 6-7-8","Spain"
"RBRMX","ICES","Azores Grounds","Portugal"
"RDSHRMPMEDGSA6","GFCM","Northern Spain","Spain"
"REDDEEPI-II","ICES","North-East Arctic","Norway"
"REDDEEPVa-XIV","ICES","ICES 5a-14","Russia"
"REDDEEPXIVb","ICES","Southeast Greenland","Iceland"
"REDFEAUS","AFMA","Eastern Australia","Australia"
"REDFISHSPP3LN","NAFO","N and SW Grand Banks","Canada"
