"stockid","region","council","mgmt","area","primary_country"
"SOLEVIId","Europe (EU)","Europe (EU)","ICES","Eastern English Channel","France"
"SOLEVIIe","Europe (EU)","Europe (EU)","ICES","Western English Channel","Great Britain"
"SOLEVIIIab","Europe (EU)","Europe (EU)","ICES","ICES 8ab","France"
"SOLMEDGSA17","Mediterranean-Black Sea","MBS","GFCM","Northern Adriatic Sea","Italy"
"SOUTHHAKECH","South America","South America","SUBPESCA","Central-Southern Chile","Chile"
"SOUTHHAKESA","New Zealand","New Zealand","MFish","Sub-Antarctic","New Zealand"
"SpanishMackerel","US South Atlantic","SAFMC",NA,NA,NA
"SPANMACKSETO","Japan","Japan","FAJ","Inland Sea of Japan","Japan"
"SPHAKECH","South America","South America","SUBPESCA","Central-Southern Chile","Chile"
"SPRAT22-32","Europe (EU)","Europe (EU)","ICES","Baltic Areas 22-32","Poland"
"SPRATNS","Europe (EU)","Europe (EU)","ICES","North Sea","Denmark"
"SPRBLKGSA29","Mediterranean-Black Sea","MBS","GFCM","Black Sea","Ukraine"
"SPURDNEATL","Europe (EU)","Europe (EU)","ICES","Northeast Atlantic","Norway"
"SRAKEROCKBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"SSARDCH","South America","South America","SUBPESCA","Central-Southern Chile","Chile"
"SSLOBSTERSASC","South Africa","South Africa","DETMCM","South Africa South coast","South Africa"
"SSTHORNHPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"STMARLINWCNPAC","Pacific Ocean","POHS","ISC","Western and Central North Pacific","Japan"
"SURFMATLC","US East Coast","MAFMC","NMFS","Mid-Atlantic Coast","USA"
"SWHITSE","Australia","Australia","AFMA","Southeast Australia","Australia"
"TANNERCRABBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"TIGERFLATSE","Australia","Australia","AFMA","Southeast Australia","Australia"
"Tilefish","US South Atlantic","SAFMC",NA,NA,NA
"TURBLKGSA29","Mediterranean-Black Sea","MBS","GFCM","Black Sea","Turkey"
"Vermilionsnapper","US South Atlantic","SAFMC",NA,NA,NA
"VSNAPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"WANGLVIIIc-IXa","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal"
"WAREHOUESE","Australia","Australia","AFMA","Eastern half of Southeast Australia","Australia"
"WAREHOUWSE","Australia","Australia","AFMA","Western half of Southeast Australia","Australia"
"WHAKEGBGOM","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA"
"WHITMEDGSA29","Mediterranean-Black Sea","MBS","GFCM","Black Sea","Turkey"
"WHITNS-VIId","Europe (EU)","Europe (EU)","ICES","ICES 4-7d","Great Britain"
"WHITVIa","Europe (EU)","Europe (EU)","ICES","West of Scotland","Great Britain"
"WHITVIIa","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain"
"WHITVIIek","Europe (EU)","Europe (EU)","ICES","Celtic Sea","France"
"WINFLOUN5Z","US East Coast","NEFMC","NMFS","Georges Bank","USA"
"WITFLOUN5Y","US East Coast","NEFMC","NMFS","Gulf of Maine","USA"
"WPOLLAI","US Alaska","NPFMC","NMFS","Aleutian Islands","USA"
"WPOLLGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"WROCKPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"WSHRIMPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"YELLCCODGOM","US East Coast","NEFMC","NMFS","Cape Cod / Gulf of Maine","USA"
"YellowtailSnapper","US South Atlantic","SAFMC",NA,NA,NA
"YELLSNEMATL","US East Coast","NEFMC","NMFS","Southern New England /Mid Atlantic","USA"
"YEYEROCKPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"YFINATL","Atlantic Ocean","AOHS","ICCAT","Atlantic Ocean","Spain"
"YSOLEBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
